Cod. T.Cultivo,Dosis Madurante,TCHM,TAHM,Sac.Caña Precosecha,%Sac.Caña,%Sac.Muestreadora,%ATR,%AR Jugo,Lluvias (2 Meses Ant.)
1.0,1.0,10.762707,0.982694,16.6206,10.87,11.407,12.156,0.625,186.0
1.0,0.8,6.595997,0.595217,7.802876075066487,10.7037,11.1634,12.1322,0.7669,0.0
1.0,0.0,8.320076,0.720178,17.2028,10.4014,10.764,11.7372,0.69,0.0
1.0,0.0,8.86143,0.763747,16.1829,10.356,10.741,11.727,0.745,228.0
1.0,0.0,12.839669,1.080365,16.1566,10.19,10.511,11.86,1.095,0.0
1.0,0.0,10.524465,1.300637,15.3632,14.14,14.682,15.574,0.535,0.0
1.0,0.0,10.830006,1.254882,16.7529,13.3018,13.5222,14.7124,0.5972,0.0
1.0,1.0,11.561262,1.331953,14.7877,13.1401,13.359,14.4007,0.505,295.0
1.0,0.0,9.470338,1.042693,17.249,12.6622,12.926,14.1469,0.67,250.0
1.0,0.0,11.446584,1.208088,7.802876075066487,12.2011,12.758,13.6543,0.72,0.0
1.0,1.0,13.507637,1.422406,7.802876075066487,12.1511,12.8753,13.5623,0.7047,284.0
1.0,0.0,12.879782,1.294831,15.8945,11.7289,11.9591,13.105,0.6543,144.0
1.0,1.2,9.382391,0.870987,16.5909,10.9154,11.027,12.1578,0.5498,187.0
1.0,0.0,10.723726,1.277259,18.1877,13.5558,14.1548,14.8083,0.4928,0.0
1.0,1.0,5.687934,0.661144,0.0,13.2705,13.5878,14.6078,0.5179,250.0
1.0,1.0,10.994756,1.206543,17.3272,12.6175,12.9772,13.8558,0.5098,0.0
1.0,0.0,11.01254,1.21185,14.8559,12.5965,13.467,13.8403,0.55,0.0
1.0,0.8,10.667277,1.168718,15.8185,12.5293,12.6009,13.7397,0.4698,235.0
1.0,0.0,11.615191,1.242009,16.592,12.2541,12.6944,13.5463,0.6225,0.0
1.0,1.2,9.340769,0.981009,17.6881,12.1165,12.5579,13.4235,0.5217,187.0
1.0,0.0,10.197841,1.053802,18.4741,11.9105,12.285,13.1862,0.54,428.0
1.0,1.0,12.277157,1.242348,17.5004,11.7412,12.2582,13.3196,0.8336,137.0
1.0,1.2,11.217444,1.073898,16.024,11.1163,11.3196,12.3913,0.5862,233.0
1.0,0.0,8.016172,0.751867,17.4254,10.906,11.5469,12.2438,0.6836,176.0
1.0,0.0,8.756398,1.0878205,0.0,12.32020206531247,13.0494,13.7531,0.7,96.0
1.0,0.0,13.996363,1.453705,16.3317,11.9963,12.3507,13.4432,0.6423,258.0
1.0,0.0,9.961639,1.03243,16.2362,11.9544,12.5752,13.3214,0.5555,423.0
1.0,1.0,11.735893,1.196151,16.8142,11.7344,11.9336,12.9463,0.4872,137.0
1.0,0.0,6.519842,0.65049,11.8479,11.701,12.899,13.386,0.75,0.0
1.0,0.0,9.818857,0.974341,15.0564,11.5376,12.2929,12.9324,0.6251,0.0
