Período,Ton.Azucar,%ATR,KATRHM,M3 Riego,Radiacion Solar Ciclo,Evaporacion 0-3,Evaporacion Ciclo
202204,279.202,13.3423,1184.652179,174083.28,445.198,434.1,2345.9
202204,59.446,13.6835,1380.334297,40185.24,449.472,491.5,2141.3
202204,127.968,14.0103,1455.147485,123097.02,449.237,490.0,2134.1
202204,360.49,14.4095,1440.093918,289055.52,445.767,432.9,2281.3
202204,314.253,12.6436,1698.623654,174088.8,447.425,436.3,1867.9
202204,184.363,13.3185,1456.178216,139190.4,447.745,442.7,1829.5
202204,411.343,13.1917,1499.975038,0.0,436.006,406.5,1833.4
202204,160.534,12.7914,1575.200693,0.0,450.794,508.6,1964.0
202204,167.744,13.3788,1229.097397,0.0,450.262,500.9,1971.9
202204,64.154,12.88,1050.271847,0.0,421.441,426.8,2324.6
202204,133.192,13.0085,1748.136566,66791.16,436.038,406.9,1833.6
